,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
205,gcald_c,glyclt_c,3hadpcoa_c,1tdec7eg3p_c,g6p_c,lipidX_c,clpn180_c,copre5_c,phthr_c,pe161_c
206,glyclt_c,h2o_e,acald_c,dtbt_c,3oocoa_c,pgi16_c,dcamp_c,ttdca_e,23dhdp_c,forglu_c
207,3c4mop_c,10mtundec2eACP_c,thr_L_e,14m3opalmACP_c,udcpp_c,csn_e,frdp_c,2aobut_c,phphhlipa_c,lcts_e
208,pppg9_c,8mnonACP_c,din_c,ppgpp_c,tagdp_D_c,man_c,2ippm_c,icolipa_c,g3pe_c,fdp_c
209,rhcys_c,f6p_c,malthx_c,abt_c,suc6p_c,3oddecACP_c,fa11_c,10fthf_c,1odec11eg3p_c,g6p_c
210,h2o_e,2omph_c,fe2_e,3dhcdchol_e,met_D_c,clpni16_c,gmhep17bp_c,hspg_degr_7_e,14mtpalm2eACP_c,udcpp_c
211,ai17tcaacgam_c,gmp_c,9m3odcaACP_c,ihdcoa_c,glytyr_c,thym_c,cdpdtdecg_c,clpn180_c,acnam_c,adn_e
212,pgpi16_c,gdp_c,ser_L_c,h2mb4p_c,prpp_c,6a2ohxnt_c,clpni15_c,myrstcaacgam_c,lipidX_c,prpp_c
213,f6p_c,gtp_c,5aizc_c,lys_L_e,1agpe120_c,val_L_c,1aipdecg3p_c,dcamp_c,pgi16_c,suc6p_c
214,rml_c,hlipa_c,2agpe140_c,lcts_c,so3_c,1aihpdecg3p_c,6mheptACP_c,frdp_c,octdp_c,glytyr_c
215,2obut_c,thr_L_e,cdpdihdecg_c,ara5p_c,phthr_c,glytyr_e,egACPm_c,2ippm_c,4abz_c,tagdp_D_c
216,gmp_c,acald_c,duri_c,salc6p_c,23dhdp_c,acACP_c,pe161_c,fa11_c,csn_e,so3_c
217,gdp_c,din_c,2dmmq8_c,pgi17_c,glyb_e,alahis_e,lcts_e,hspg_rest_e,psi14_c,phthr_c
218,4hpro_LT_c,malthx_c,glycogenb_c,na1_c,g3pe_c,rbl_L_c,fdp_c,gmhep17bp_c,alpro_c,23dhdp_c
