,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
63,pa140_c,air_c,cdpditdecg_c,dxyl5p_c,thmmp_c,udcpdp_c,acorn_c,aihpdcoa_c,acnam2a6agal_e,3dhsk_c
64,clpni15_c,thmmp_c,2mb2coa_c,air_c,ab6p3hxl_c,2mp2coa_c,ipdcoa_c,pgp161_c,3dhsk_c,acglu_c
65,acmanap_c,HC01652_c,adpglc_c,thmmp_c,HC01652_c,thr_L_e,hdca_e,lald_L_c,acglu_c,hethmpp_c
66,33hmeoxobut_c,3mop_c,4ampm_c,ab6p3hxl_c,dtdpglu_c,copre4_c,pgp141_c,dad_2_c,hethmpp_c,14m3opalmACP_c
67,ibcoa_c,dtdpglu_c,2p4c2me_c,3mop_c,3mop_c,2pg_c,3dhsk_c,acorn_c,14m3opalmACP_c,nicrns_c
68,mql8_c,1ihdecg3p_c,ppa_e,1ihdecg3p_c,1ihdecg3p_c,ump_c,acglu_c,ipdcoa_c,nicrns_c,arab_L_e
69,pa161_c,kphphhlipa_c,dmpp_c,cdpdaihpdecg_c,2mp2coa_c,duri_c,hethmpp_c,hdca_e,ade_e,h2mb4p_c
70,amet_c,cdpdaihpdecg_c,malt_c,2mp2coa_c,udcpdp_c,14m3opentdecACP_c,14m3opalmACP_c,pgp141_c,h2mb4p_c,glc_D_c
71,pran_c,udcpdp_c,gam6p_c,udcpdp_c,thr_L_e,pa140_c,nicrns_c,3dhsk_c,glc_D_c,2dr1p_c
72,lys_L_e,2mp2coa_c,cit_c,2pg_c,copre4_c,clpni15_c,h2mb4p_c,acglu_c,2dr1p_c,dxyl5p_c
73,tsul_c,thr_L_e,glyc_e,ump_c,oxa_c,acmanap_c,glc_D_c,hspg_degr_12_e,dxyl5p_c,air_c
74,val_L_e,2pg_c,rnam_c,14m3opentdecACP_c,f1a_rl_e,trp_L_e,arab_L_e,hethmpp_c,air_c,thmmp_c
75,h2o_e,ump_c,clpn140_c,duri_c,2pg_c,3ooctdACP_c,pgpi15_c,14m3opalmACP_c,thmmp_c,HC01652_c
76,ocdca_c,duri_c,dhor_S_c,pa140_c,ump_c,mql8_c,2dr1p_c,nicrns_c,HC01652_c,dtdpglu_c
77,Tn_antigen_e,14m3opentdecACP_c,pgi14_c,clpni15_c,duri_c,pa161_c,dxyl5p_c,h2mb4p_c,dtdpglu_c,3mop_c
78,23dhmb_c,fa12_c,pg141_c,12m3htridecACP_c,14m3opentdecACP_c,rdmbzi_c,air_c,glc_D_c,3mop_c,kphphhlipa_c
79,phom_c,clpni15_c,thr_L_c,3hhexACP_c,pa140_c,amet_c,thmmp_c,arab_L_e,kphphhlipa_c,cdpdaihpdecg_c
80,r5p_c,12m3htridecACP_c,icit_c,33hmeoxobut_c,clpni15_c,lys_L_e,HC01652_c,pgpi15_c,cdpdaihpdecg_c,udcpdp_c
81,pgi15_c,3hhexACP_c,oaa_c,trp_L_e,acmanap_c,palmACP_c,dtdpglu_c,2dr1p_c,udcpdp_c,thr_L_e
82,cdpditdecg_c,3ooctdACP_c,3ohdcoa_c,3ooctdACP_c,5dgclur_c,tsul_c,3mop_c,dxyl5p_c,thr_L_e,copre4_c
83,2mb2coa_c,ibcoa_c,dgtp_c,ibcoa_c,56dura_c,histl_L_c,cspg_c_degr_e,air_c,f1a_rl_e,f1a_rl_e
84,dtdp4d6dg_c,7m3hocACP_c,tma_c,7m3hocACP_c,33hmeoxobut_c,ocdca_c,kphphhlipa_c,thmmp_c,2pg_c,2pg_c
85,adpglc_c,mql8_c,cbp_c,mql8_c,3ooctdACP_c,phom_c,cdpdaihpdecg_c,HC01652_c,ump_c,ump_c
86,2p4c2me_c,rdmbzi_c,h2_c,pa161_c,hdd2coa_c,r5p_c,udcpdp_c,dtdpglu_c,duri_c,duri_c
87,dmpp_c,amet_c,cbasp_c,rdmbzi_c,mql8_c,fum_e,thr_L_e,3mop_c,14m3opentdecACP_c,14m3opentdecACP_c
88,malt_c,palmACP_c,cdpdddecg_c,amet_c,l2a6o_c,ggdp_c,2pg_c,cspg_c_degr_e,pa140_c,pa140_c
89,gam6p_c,tsul_c,34hpp_c,lys_L_e,pa161_c,dtdp4d6dg_c,ump_c,kphphhlipa_c,fa12_c,fa12_c
90,cit_c,val_L_e,cdpdaipdecg_c,tsul_c,rdmbzi_c,cdpditdecg_c,duri_c,cdpdaihpdecg_c,clpni15_c,clpni15_c
91,glyc_e,ocdca_c,pgpi17_c,val_L_e,amet_c,pgi15_c,14m3opentdecACP_c,udcpdp_c,12m3htridecACP_c,12m3htridecACP_c
92,2mbcoa_c,phom_c,1odecg3p_c,histl_L_c,pran_c,adpglc_c,pa140_c,gam_c,3hhexACP_c,3hhexACP_c
93,rnam_c,r5p_c,glycogen_c,ocdca_c,lys_L_e,2mb2coa_c,fa12_c,thr_L_e,33hmeoxobut_c,33hmeoxobut_c
94,clpn140_c,pgi15_c,glyphe_c,23dhmb_c,palmACP_c,4ampm_c,clpni15_c,copre4_c,3ooctdACP_c,3ooctdACP_c
95,dhor_S_c,dtdp4d6dg_c,for_e,phom_c,tsul_c,2p4c2me_c,acmanap_c,2pg_c,7m3hocACP_c,7m3hocACP_c
96,sT_antigen_e,2mb2coa_c,s7p_c,r5p_c,histl_L_c,gmhep7p_c,12m3htridecACP_c,ump_c,mql8_c,mql8_c
97,pgi14_c,4ampm_c,orn_e,pgi15_c,ocdca_c,dmpp_c,3hhexACP_c,duri_c,l2a6o_c,l2a6o_c
98,HC01710_c,2p4c2me_c,fum_c,cdpditdecg_c,Tn_antigen_e,malt_c,33hmeoxobut_c,14m3opentdecACP_c,pa161_c,rdmbzi_c
99,thr_L_c,ppa_e,orot5p_c,2mb2coa_c,23dhmb_c,gam6p_c,3ooctdACP_c,pa140_c,rdmbzi_c,pran_c
100,oaa_c,gmhep7p_c,thmpp_c,4ampm_c,phom_c,cit_c,7m3hocACP_c,fa12_c,pran_c,dmlarg_c
101,dhptd_c,dmpp_c,aicar_c,2p4c2me_c,r5p_c,4m3hhexACP_c,mql8_c,clpni15_c,amet_c,lys_L_e
102,dgtp_c,9m3odcaACP_c,chor_c,12dihdglyc_c,dkdi_c,rnam_c,l2a6o_c,12m3htridecACP_c,palmACP_c,palmACP_c
103,no_e,glyasp_c,5mtr_c,dmpp_c,ggdp_c,clpn140_c,pa161_c,56dura_c,lys_L_e,tsul_c
104,4adcho_c,malt_c,pg181_c,9m3odcaACP_c,pgi15_c,pgi14_c,pran_c,3hhexACP_c,tsul_c,val_L_e
105,cbp_c,gam6p_c,grdp_c,gam6p_c,cdpditdecg_c,pg141_c,amet_c,33hmeoxobut_c,val_L_e,histl_L_c
106,HC01376_c,glyc_e,idp_c,cit_c,2mb2coa_c,thr_L_c,lys_L_e,3ooctdACP_c,histl_L_c,ocdca_c
107,acgam_c,2mbcoa_c,gar_c,2mbcoa_c,adpglc_c,3hoctaACP_c,palmACP_c,7m3hocACP_c,12ppd_S_c,12ppd_S_c
108,cdpdaipdecg_c,4m3hhexACP_c,10fthf_c,4m3hhexACP_c,dtdp4d6dg_c,oaa_c,tsul_c,mql8_c,ocdca_c,Tn_antigen_e
109,cdpdddecg_c,rnam_c,glycys_c,rnam_c,4ampm_c,dhptd_c,fruur_c,l2a6o_c,Tn_antigen_e,3hgACPm_c
110,34hpp_c,clpn140_c,5aizc_c,clpn140_c,2p4c2me_c,3ohdcoa_c,histl_L_c,pa161_c,3hgACPm_c,phom_c
111,cbasp_c,dhor_S_c,but_c,dhor_S_c,dmpp_c,dgtp_c,12ppd_S_c,rdmbzi_c,phom_c,23dhmb_c
112,2ahhmd_c,2mbutACP_c,gua_c,2mbutACP_c,malt_c,tma_c,ocdca_c,pran_c,23dhmb_c,r5p_c
113,pgpi17_c,pgi14_c,paai17_c,pgi14_c,gam6p_c,glc_bD_c,Tn_antigen_e,lys_L_e,r5p_c,pgi15_c
114,palmtcaacgam_c,HC01710_c,g3p_c,dtbt_c,cit_c,cbp_c,3hgACPm_c,palmACP_c,pgi15_c,cdpditdecg_c
115,phyQ_c,thr_L_c,rhcys_c,pg141_c,glyc_e,h2_c,phom_c,tsul_c,cdpditdecg_c,dtdp4d6dg_c
116,btn_co2_c,3hoctaACP_c,glygln_c,urea_c,4m3hhexACP_c,acgam_c,23dhmb_c,val_L_e,dtdp4d6dg_c,4ampm_c
117,fru_e,oaa_c,2mecdp_c,thr_L_c,rnam_c,cdpdaipdecg_c,r5p_c,fruur_c,4ampm_c,2p4c2me_c
118,leu_L_e,dgtp_c,2ohph_c,3hoctaACP_c,clpn140_c,cdpdddecg_c,pgi15_c,histl_L_c,2p4c2me_c,ppa_e
119,glycogen_c,15mpalmACP_c,23dhdp_c,icit_c,dhor_S_c,34hpp_c,cdpditdecg_c,12ppd_S_c,ppa_e,gmhep7p_c
