,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
89,ru5p_D[c],ru5p_D[c],dhor_S[c],glyc[c],8m3hnonACP[c],cdpdihdecg[c],pant_R[c],u23ga[c],glyc[c],cdpdaihpdecg[c]
90,pydx5p[c],ddcaACP[c],itdcoa[c],glyald[c],g3pc[c],pgpi16[c],leu_L[c],paai17[c],glyald[c],pant_R[c]
91,ca2[c],agdpcbi[c],1itdecg3p[c],10fthf[c],13m3omyrsACP[c],cgly[c],10fthf[c],cdpdaihpdecg[c],10fthf[c],2c25dho[c]
92,mlthf[c],4mhexACP[c],cl[c],pei17[c],paai17[c],glyc45tcaala_D[c],pei17[c],pant_R[c],pei17[c],leu_L[c]
93,cu2[c],4m3ohexACP[c],mg2[c],pep[c],cdpdaihpdecg[c],3haACP[c],focytC[c],2c25dho[c],fdxox[c],glyc[c]
94,cd2[c],hepdp[c],mn2[c],malt6p[c],pant_R[c],csn[c],fdxox[c],leu_L[c],malcoa[c],glyald[c]
95,25aics[c],palmACP[c],ptrc[c],glyc45tcaala_D[c],2hdecg3p[c],ura[c],malcoa[c],glyc[c],4ampm[c],10fthf[c]
96,1agpe180[c],3haACP[c],dhlam[c],q8[c],2c25dho[c],adocbl[c],4ampm[c],glyald[c],ppap[c],pei17[c]
97,etoh[c],lac_D[c],f6p[c],malACP[c],leu_L[c],26dap_LL[c],ppap[c],10fthf[c],but2eACP[c],fdxox[c]
98,hxan[c],3hddecACP[c],xu5p_D[c],malcoa[c],oxa[c],3hddecACP[c],but2eACP[c],pei17[c],butACP[c],malcoa[c]
99,imp[c],dtdp[c],hom_L[c],clpnai17[c],glyc[c],12dgr160[c],butACP[c],focytC[c],isocapr[c],4ampm[c]
100,cmp[c],15mpalmACP[c],phom[c],4ampm[c],glyald[c],dmso[c],isocapr[c],fdxox[c],cdpdodecg[c],ppap[c]
