3c2hmp_c	3c4mop_c
trp_L_c	indpyr_c
1agpe160_c	g3pe_c
ppi_c	fa12_c
dudp_c	adp_c
5aizc_c	pi_c
clpnai15_c	pgai15_c
arg_L_c	pi_c
so3_c	achms_c
1agpe141_c	h_c
abt_c	nadph_c
gln_L_c	glygln_c
2ahbut_c	hethmpp_c
nadph_c	9m3hdcaACP_c
udp_c	adp_c
atp_c	uaagtmda_c
atp_c	fe3_c
co2dam_c	nad_c
gtp_c	dcamp_c
56dura_c	h_c
uacgam_c	uaccg_c
leu_L_c	4mop_c
14m3opentdecACP_c	nadp_c
g6p_c	g6p_B_c
nadp_c	3oddecACP_c
g3p_c	tagdp_D_c
dcmp_c	dcdp_c
tagdp_D_c	g3p_c
pyr_c	h2o_c
atp_c	alaasp_c
k_c	k_e
his_L_c	pi_c
MGlcn175_rl_e	MGlcn13_rl_e
gam6p_c	nh4_c
ppi_c	lipoate_c
h_c	11m3hddcaACP_c
h2o_e	MGlcn14_rl_e
cdpdodec11eg_c	pgp181_c
h2o_c	g3pg_c
malt_c	maltpt_c
MGlcn158_e	MGlcn196_e
gdp_c	amp_c
h_c	thdp_c
glyc45tcaglc_c	prl45tcaglc_c
h_c	aspsa_c
hg2_c	adp_c
4pasp_c	aspsa_c
3hbcoa_c	3hbcoa_R_c
rdmbzi_c	gmp_c
tyr_L_c	ala_L_c
leu_L_c	ppi_c
his_L_c	his_L_e
ppa_c	adp_c
methf_c	mlthf_c
h2o_c	dhnpt_c
coa_c	hxcoa_c
malt6p_c	g6p_c
14mpalmACP_c	ACP_c
cmp_c	diglcpgai17_c
MGlcn114_rl_e	MGlcn112_rl_e
h2o_c	4hthr_c
nadh_c	dmpp_c
codhpre6_c	ahcys_c
pa181_c	ppi_c
cys_L_c	amp_c
odecoa_c	ocdcea_c
MGlcn180_rl_e	acgam_e
gmp_c	gdp_c
applp_c	adp_c
adhlam_c	dhlam_c
pydam_c	pydam_e
nadh_c	coa_c
h2o_c	hmbil_c
phom_c	thr_L_c
atp_c	ctp_c
1ddecg3p_c	glyc3p_c
4ppan_c	cmp_c
5aop_c	ppbng_c
gly_c	gly_e
cgly_e	cgly_c
udcpdp_c	pi_c
h_c	4mop_c
o2_c	2mb2coa_c
but_e	but_c
MGlcn139_rl_e	gal_e
metala_e	metala_c
met_D_e	adp_c
MGlcn164_rl_e	acgam_e
h2o_c	r5p_c
hgbyr_c	ppi_c
5mhexACP_c	7m3oocACP_c
cala_c	nh4_c
cytd_c	adp_c
13mmyrsACP_c	co2_c
h_c	3ohexACP_c
s_c	dad_5_c
f6p_c	nad_c
glyc_c	adp_c
r5p_c	psd5p_c
MGlcn183_rl_e	MGlcn3_rl_e
10fthf_c	adp_c
atp_c	6hmhptpp_c
kesto_e	fru_e
h_c	glyc_c
proteinsynth_c	pi_c
MGlcn104_rl_e	gal_e
dcaACP_c	ACP_c
MGlcn178_rl_e	acgam_e
glu_L_c	dhf_c
thr_L_c	pi_c
8m3hnonACP_c	h_c
dhap_c	quln_c
udpg_c	g1p_c
atp_c	uaaGgtla_c
h_c	ppi_c
prpp_c	atp_c
prpp_c	pran_c
pro_L_c	PGPm1_c
h_c	diglcpg140_c
1ddecg3p_c	pa120_c
cmp_c	diglcpg160_c
spmd_e	pi_c
cys_L_c	PGPm1_c
h2o_c	acgam_c
2agpe161_c	hdcea_c
ala_L_c	nadh_c
udpgal_c	utp_c
2ahhmd_c	ppi_c
4c2me_c	h_c
MGlcn106_rl_e	MGlcn99_rl_e
glyc3p_c	nadph_c
ala_L_c	apoACP_c
h_c	skm_c
nad_c	gly_c
diglcpgi17_c	i17tca1_c
ala_L_c	h_e
MGlcn172_e	MGlcn161_e
2mpropACP_c	ACP_c
2dr5p_c	g3p_c
adp_c	dudp_c
1agpe180_c	ocdca_c
h2o_c	adcobhex_c
13m3omyrsACP_c	13m3hmyrsACP_c
db4p_c	pi_c
ipdp_c	udcpdp_c
trp_L_c	PGPm1_c
2ameph_c	ala_L_c
MGlcn175_rl_e	MGlcn185_rl_e
aacoa_c	nad_c
acgam6p_c	gam6p_c
sucsal_c	nadph_c
2cpr5p_c	co2_c
l2a6o_c	thdp_c
ctp_c	cdpdhdec9eg_c
gly_c	glygln_c
ai15tca1_c	diglcpgai15_c
gdp_c	dgdp_c
pep_c	pyr_c
gthrd_c	lgt_S_c
nad_c	nadp_c
ptrc_e	adp_c
ribflv_c	pi_c
ihdcoa_c	coa_c
nadp_c	3ooctdACP_c
ru5p_D_c	pi_c
cdpdihdecg_c	h_c
2agpe120_c	g3pe_c
h_c	pre6b_c
14mpalmACP_c	aihpdcoa_c
nad_c	aacoa_c
aipdcoa_c	paai15_c
nh4_c	ala_L_c
5aizc_c	25aics_c
3c2hmp_c	h_c
hgbyr_c	hgbam_c
dudp_c	dump_c
h2o_c	hg2_e
uaagmda_c	h_c
nadh_c	actn_R_c
ocACP_c	co2_c
malACP_c	8m3odcaACP_c
3hddecACP_c	tddec2eACP_c
alaasp_e	pi_c
6m3oocACP_c	nadp_c
h_c	co2_c
glyc_R_c	3pg_c
pyr_c	adhlam_c
glyc3p_c	1ddecg3p_c
4abutn_c	h_c
h2o_c	gal_c
h_c	5aprbu_c
adp_c	pyr_c
MGlcn154_e	f1a_e
cl_c	apoACP_c
cu2_c	ppi_c
nadph_c	56dura_c
h2o_c	arab_L_c
h_c	asn_L_e
glycogen_c	glycogenb_c
o2_c	co2_c
utp_c	cmp_c
MGlcn89_e	acgam_e
5hxudidzcba_c	alltn_R_c
ipdcoa_c	coa_c
seln_c	pi_c
lys_L_c	biomass_c
h2o_e	MGlcn143_rl_e
12mtridecACP_c	14m3opentdecACP_c
trdrd_c	dutp_c
nadph_c	hom_L_c
actACP_c	3haACP_c
pant_R_c	ppi_c
1hdec9eg3p_c	h_c
rnam_c	r1p_c
h_c	mnl1p_c
1ddecg3p_c	h_c
MGlcn29_rl_e	acgam_e
mlthf_c	ser_L_c
2mbcoa_c	h2o_c
