xyl_D_e	pi_c
MGlcn18_rl_e	MGlcn14_rl_e
scl_c	h_c
pi_c	gua_c
psi17_c	co2_c
icdchol_e	h_c
MGlcn137_e	acgam_e
h2o_e	MGlcn19_rl_e
MGlcn4_rl_e	acnam_e
h2o_c	6a2ohxnt_c
uppg3_c	cpppg3_c
clpn160_c	pg160_c
h2o_e	MGlcn157_e
mantr_c	gal_c
ppi_c	fa6_c
3ogACPm_c	nadp_c
i16tca1_c	i16tcaglc_c
grdp_c	ppi_c
MGlcn136_rl_e	acnam_e
h2o_c	xtsn_c
f6p_c	pi_c
h2o_c	glyb_c
MGlcn27_rl_e	gal_e
4ppan_c	amp_c
malACP_c	10m3oundecACP_c
k_c	pi_c
so4_c	pi_c
MGlcn152_e	acgam_e
4hpro_LT_c	h_e
h2o_e	MGlcn6_rl_e
h2o_c	ctbt_c
MGlcn89_rl_e	MGlcn109_rl_e
MGlcn139_rl_e	MGlcn143_rl_e
MGlcn23_rl_e	acgam_e
fad_c	ppi_c
glyald_c	nad_c
2dmmql8_c	succ_c
accoa_c	3c3hmp_c
uaagmda_c	uaagtmda_c
hg2_c	hg2_e
12dixdglyc_c	h_c
gtp_c	for_c
nadp_c	3odecACP_c
acnam2a6agal_e	acnam_e
myrstca1_c	h_c
acgam_e	h_c
isoval_e	h_c
MGlcn118_e	MGlcn120_e
glu_L_c	orn_c
2dhp_c	nadp_c
dgsn_e	dgsn_c
ocdca_e	ocdca_c
MGlcn100_e	MGlcn66_e
h2o_c	dad_2_c
MGlcn166_e	MGlcn175_e
3omrsACP_c	nadp_c
MGlcn6_e	MGlcn179_e
ibcoa_c	2mpropACP_c
h2o_c	dha_c
trdrd_c	ac_c
MGlcn150_e	acnam_e
pppi_c	atp_c
malACP_c	3opACPm_c
MGlcn144_rl_e	fuc_L_e
MGlcn31_rl_e	MGlcn97_rl_e
MGlcn63_rl_e	MGlcn119_rl_e
h2o_c	udp_c
gACPm_c	ACP_c
ckdo_c	cmp_c
pg140_c	clpn140_c
nadph_c	glyclt_c
MGlcn3_rl_e	MGlcn2_rl_e
ile_L_c	glu_L_c
MGlcn151_rl_e	MGlcn3_rl_e
dsT_antigen_rl_e	MGlcn48_rl_e
2mbutACP_c	2mbcoa_c
MGlcn185_e	MGlcn12_e
eig3p_c	imacp_c
fdp_c	g3p_c
his_L_c	h2o_c
orn_c	glu5sa_c
MGlcn146_rl_e	MGlcn23_rl_e
MGlcn81_rl_e	MGlcn152_rl_e
pg160_c	clpn160_c
utp_c	atp_c
atp_c	ugmda_c
MGlcn167_e	acgam_e
MGlcn80_rl_e	MGlcn83_rl_e
h_c	9m3hdcaACP_c
prbatp_c	h_c
6pgl_c	nadp_c
gmhep1p_c	ppi_c
gln_L_c	amp_c
fmn_c	ppi_c
h2o_c	gsn_c
coa_c	ppcoa_c
sttca1_c	sttcaacgam_c
nad_c	dtdp_c
ins_e	h_c
cdp_c	trdox_c
uacgam_c	ai15tcaacgam_c
gmhep7p_c	adp_c
PGP_c	pi_c
cpppg3_c	co2_c
thr_L_e	h_c
h2o_e	MGlcn92_rl_e
atp_c	co2dam_c
icdchol_e	3dhcdchol_e
MGlcn101_e	gal_e
MGlcn116_e	MGlcn12_e
h_c	q8_c
MGlcn112_e	gal_e
MGlcn190_e	acnam_e
alathr_c	thr_L_c
h2o_c	citr_L_c
co2_e	co2_c
3mob_c	coa_c
ac_c	trdrd_c
h_c	mqn8_c
MGlcn122_rl_e	MGlcn15_rl_e
dcyt_c	duri_c
MGlcn127_e	MGlcn61_e
prlp_c	h_c
paai15_c	ppi_c
3mob_c	val_L_c
pydam_c	h_c
orot_c	ppi_c
ppi_c	asp_L_c
MGlcn4_rl_e	gal_e
aihpdcoa_c	fa12_c
alagly_c	gly_c
dgdp_c	adp_c
h_c	12m3otridecACP_c
nadh_c	10mundecACP_c
MGlcn60_rl_e	MGlcn128_rl_e
imp_c	fprica_c
MGlcn17_rl_e	fuc_L_e
ctp_c	ckdo_c
glu_L_c	pi_c
o2_c	mqn8_c
meoh_c	nadh_c
1ipdecg3p_c	coa_c
dump_c	fad_c
tyr_L_c	amp_c
fe3_c	adp_c
core6_e	acgam_e
q8_c	h_e
amopbut_L_c	3a2opp_c
h_c	4abut_e
uacmam_c	udp_c
ficytC_c	pyr_c
MGlcn97_e	MGlcn78_e
12dgr140_c	adp_c
