b2coa_c	fdxrd_c
spmd_c	dmbzid_c
glu_L_c	10fthf5glu_c
nadp_c	glu5p_c
ser_L_c	adp_c
h2o_c	h_c
pep_c	tre6p_c
h_c	abt_c
gam6p_c	gam1p_c
fe2_c	adp_c
4ampm_c	adp_c
nadph_c	8m3hnonACP_c
sttca1_c	apoACP_c
actp_c	pi_c
12dgr160_c	adp_c
asp_L_c	Largn_c
14m3hpalmACP_c	h_c
nh4_c	amp_c
ai17tcaala_D_c	biomass_c
mn2_c	apoACP_c
ipdcoa_c	1ipdecg3p_c
lgt_S_c	h_c
12mtmrs2eACP_c	nadp_c
udpg_c	m12dahglyc_c
ai17tcaglc_c	ai17tca1_c
coa_c	pi_c
phthr_c	pi_c
gln_L_c	adp_c
clpnai17_c	PGPm1_c
trdox_c	trdrd_c
pro_L_e	adp_c
ocdcaACP_c	1odecg3p_c
rnatrans_c	dmbzid_c
gmp_c	adp_c
sucsal_c	nadh_c
glyc45tcaglc_c	PGPm1_c
tsul_c	trdox_c
glu_L_c	pser_L_c
atp_c	trdox_c
e4p_c	s7p_c
air_c	for_c
ahcys_c	2dmmq8_c
dhor_S_c	cbasp_c
udcpdp_c	apoACP_c
udp_c	atp_c
pi_c	h_c
ca2_c	PGPm1_c
glyc3p_c	pgpi17_c
h2o_c	ddca_c
thf_c	aicar_c
gly_c	PGPm1_c
nadh_c	pi_c
zn2_c	adp_c
nad_c	udpglcur_c
akg_c	h2o_c
fum_c	succ_c
uacmam_c	h_c
tdcoa_c	coa_c
tyr_L_c	adp_c
h_c	fdxrd_c
ala_L_c	alagln_c
ai17tca1_c	apoACP_c
h_c	hom_L_c
nad_c	aspsa_c
glu_L_c	n6all26d_c
14m3hpentdecACP_c	h2o_c
sttcaacgam_c	sttca1_c
ppgpp_c	ppi_c
ai17tcaacgam_c	adp_c
pep_c	suc6p_c
2ippm_c	3c2hmp_c
glyc3p_c	pgp181_c
h_c	14m3opentdecACP_c
o2_c	h2o2_c
2agpg180_c	ocdca_c
tcam_c	h2o_c
2dmmq7_c	nad_c
ibcoa_c	2mp2coa_c
ala_L_c	alahis_c
ai17tcaglc_c	PGPm1_c
12daipdglyc_c	h_c
met_D_e	met_D_c
mg2_c	PGPm1_c
pei17_c	h_c
2mpropACP_c	ibcoa_c
2mbutACP_c	4m3ohexACP_c
1ihdecg3p_c	h_c
palmACP_c	ACP_c
pa161_c	cdpdhdec9eg_c
prl45tcaala_c	glyc45tcaala_D_c
ala_L_c	cbi_c
cdpdipdecg_c	h_c
sttcaglc_c	sttca1_c
coa_c	oaa_c
utp_c	adp_c
nadph_c	4m3hpentACP_c
hco3_c	h2o_c
metala_c	ala_L_c
acser_c	so3_c
uaagmda_c	pi_c
udp_c	ai17tca1_c
acglu_c	acorn_c
glyasp_c	asp_L_c
nadh_c	g3p_c
h2o_c	succ_c
4mpetz_c	thmmp_c
nadh_c	3hdcoa_c
r5p_c	h_c
15m3hpalmACP_c	nadph_c
nad_c	ppi_c
nicrns_c	h_c
xtsn_c	xan_c
h_c	galt1p_c
g3p_c	fdp_c
udp_c	amp_c
malcoa_c	coa_c
ribflv_e	ribflv_c
ribflv_c	h_e
h_c	asp_L_c
sucr_e	suc6p_c
histl_L_c	nadh_c
adocbl_c	pi_c
pyr_c	thmpp_c
val_L_c	biomass_c
nad_c	his_L_c
atp_c	acg5p_c
gln_L_c	aicar_c
clpnai17_c	adp_c
3dhchol_e	nad_c
glyc45tca_c	ppi_c
3hddecACP_c	3oddecACP_c
frdp_c	ppi_c
ura_c	duri_c
glyc45tcaglc_c	adp_c
12dihdglyc_c	m12dihglyc_c
galt1p_c	h_c
gtp_c	dgtp_c
nadp_c	nadph_c
aihpdcoa_c	paai17_c
f6p_c	h_c
sttcaala_D_c	PGPm1_c
k_c	h_c
lac_D_c	nadh_c
so4_c	h_c
gua_c	ppi_c
dmpp_c	ppi_c
cdpdodecg_c	h_c
ca2_c	adp_c
2omph_c	adp_c
thm_c	amp_c
i17tcaala_D_c	PGPm1_c
6m3hocACP_c	6mtoct2eACP_c
gly_c	adp_c
dudp_c	dutp_c
succ_c	nadp_c
atp_c	phom_c
lac_D_c	h_e
nh4_c	adp_c
13m3hmyrsACP_c	h2o_c
uacmam_c	uacgam_c
6m3oheptACP_c	6m3hheptACP_c
ihpdcoa_c	1ihpdecg3p_c
ser_L_c	psi17_c
xmp_c	ppi_c
4abut_e	4abut_c
4hbutcoa_c	accoa_c
nadp_c	5m3ohexACP_c
cdp_c	ctp_c
ump_c	udpg_c
3oddcoa_c	dcacoa_c
h_c	2dmmq8_c
dhap_c	f1p_c
nadh_c	lac_D_c
2ommbl_c	h_c
glu_L_c	coa_c
tdcoa_c	myrsACP_c
ai17tcaglc_c	adp_c
alagln_c	gln_L_c
3btcoa_c	4hbutcoa_c
glu_L_c	val_L_c
h_e	4hbz_c
fdp_c	f6p_c
pphn_c	34hpp_c
nad_c	co2_c
achms_c	h_c
nadh_c	nh4_c
asp_L_c	biomass_c
6mheptACP_c	ACP_c
dgdp_c	dgmp_c
ppaca_c	pi_c
q8_c	pi_c
metsox_S_L_e	adp_c
pgai15_c	clpnai15_c
3hoctaACP_c	h2o_c
5mthf_c	dmbzid_c
nadph_c	4m3hhexACP_c
akg_c	3mop_c
5fthf_c	adp_c
tcam_c	apoACP_c
asp_L_c	ala_B_c
alac_S_c	nadp_c
pheme_e	pi_c
nadp_c	nh4_c
3oddecACP_c	3hddecACP_c
glu_L_c	h_c
gdp_c	atp_c
h_c	7m3oocACP_c
o2_c	2ohph_c
h_c	9m3odcaACP_c
pydxn_c	pdx5p_c
h_c	2dmmql8_c
3hbcoa_c	aacoa_c
nadp_c	tyr_L_c
g1p_c	gal1p_c
hxcoa_c	3oocoa_c
h2o_c	q8_c
aspsa_c	hom_L_c
h_c	trdrd_c
imp_c	dcamp_c
26dap_M_c	h_c
dgtp_c	biomass_c
ala_L_c	h2o_c
dxyl5p_c	amp_c
paai17_c	pi_c
10fthf_c	PGPm1_c
ahcys_c	2dmmq7_c
im4act_c	im4ac_c
atp_c	apoACP_c
6m3hheptACP_c	6mthept2eACP_c
h2o_c	pro_L_c
tdeACP_c	ACP_c
atp_c	h_e
nad_c	3otdcoa_c
h_c	5mhexACP_c
3mob_c	thf_c
ile_L_e	adp_c
10m3hundecACP_c	10m3oundecACP_c
val_L_c	dmbzid_c
cro4_c	h_c
thr_L_c	2obut_c
ppi_c	prpp_c
3hhexACP_c	thex2eACP_c
i17tcaala_D_c	adp_c
h_c	dxyl5p_c
acg5sa_c	akg_c
3c2hmp_c	3c4mop_c
trp_L_c	indpyr_c
1agpe160_c	g3pe_c
pydx5p_c	dmbzid_c
i17tca1_c	amp_c
clpnai15_c	pgai15_c
5aizc_c	pi_c
dudp_c	adp_c
arg_L_c	pi_c
nad_c	akg_c
so3_c	achms_c
peai17_c	biomass_c
1agpe141_c	h_c
abt_c	nadph_c
gln_L_c	glygln_c
2ahbut_c	hethmpp_c
nadph_c	9m3hdcaACP_c
udp_c	adp_c
atp_c	uaagtmda_c
