MGlcn84_rl_e	MGlcn109_rl_e
MGlcn107_rl_e	fuc_L_e
MGlcn145_e	MGlcn141_e
nadp_c	tyr_L_c
MGlcn111_e	gal_e
alahis_e	adp_c
MGlcn165_e	acnam_e
h_c	thr_L_e
MGlcn127_rl_e	fuc_L_e
alaglu_e	adp_c
aspsa_c	hom_L_c
na1_c	ala_L_e
h_c	trdrd_c
MGlcn92_e	MGlcn28_e
imp_c	dcamp_c
26dap_M_c	h_c
dgtp_c	biomass_c
ala_L_c	h2o_c
dxyl5p_c	amp_c
MGlcn95_e	fuc_L_e
MGlcn179_rl_e	MGlcn167_rl_e
atp_c	apoACP_c
h2o_c	pro_L_c
ala_L_c	na1_e
tdeACP_c	ACP_c
MGlcn158_rl_e	core2_rl_e
3mob_c	thf_c
h2o_e	MGlcn76_e
thr_L_c	2obut_c
h_c	dxyl5p_c
h2o_e	MGlcn58_rl_e
3c2hmp_c	3c4mop_c
trp_L_c	indpyr_c
1agpe160_c	g3pe_c
no2_e	h2o_e
ppi_c	fa12_c
MGlcn195_e	MGlcn196_e
dudp_c	adp_c
clpnai15_c	pgai15_c
5aizc_c	pi_c
arg_L_c	pi_c
MGlcn142_rl_e	MGlcn148_rl_e
so3_c	achms_c
2mpdhl_c	dhlam_c
1agpe141_c	h_c
abt_c	nadph_c
gln_L_c	glygln_c
2ahbut_c	hethmpp_c
udp_c	adp_c
atp_c	uaagtmda_c
atp_c	fe3_c
gtp_c	dcamp_c
MGlcn74_e	fuc_L_e
MGlcn145_rl_e	MGlcn141_rl_e
MGlcn126_e	MGlcn66_e
MGlcn63_rl_e	MGlcn118_rl_e
uacgam_c	uaccg_c
i15tca1_c	h_c
leu_L_c	4mop_c
g6p_c	g6p_B_c
MGlcn9_rl_e	MGlcn103_rl_e
dcmp_c	dcdp_c
pyr_c	h2o_c
atp_c	cbl1_c
atp_c	alaasp_c
h2o_c	inost_c
k_c	k_e
his_L_c	pi_c
MGlcn26_e	MGlcn78_e
MGlcn118_rl_e	MGlcn108_rl_e
gam6p_c	nh4_c
cellb_c	glc_D_c
ppi_c	lipoate_c
h2o_e	MGlcn14_rl_e
cdpdodec11eg_c	pgp181_c
msa_c	co2_c
h2o_c	g3pg_c
malt_c	maltpt_c
gdp_c	amp_c
MGlcn190_rl_e	acnam_e
h2o_e	MGlcn25_e
h_c	thdp_c
glyc45tcaglc_c	prl45tcaglc_c
g6p_B_c	6pgl_c
h_c	aspsa_c
h2o_e	MGlcn136_rl_e
4pasp_c	aspsa_c
tyr_L_c	ala_L_c
leu_L_c	ppi_c
his_L_c	his_L_e
ppa_c	adp_c
methf_c	mlthf_c
MGlcn165_e	MGlcn166_e
MGlcn114_rl_e	MGlcn112_rl_e
h2o_c	4hthr_c
nadh_c	dmpp_c
pa181_c	ppi_c
dextrin_e	pi_c
cys_L_c	amp_c
h2o_e	MGlcn80_rl_e
odecoa_c	ocdcea_c
gmp_c	gdp_c
adhlam_c	dhlam_c
nadh_c	coa_c
h2o_c	hmbil_c
phom_c	thr_L_c
MGlcn102_e	acnam_e
atp_c	ctp_c
MGlcn10_e	MGlcn116_e
1ddecg3p_c	glyc3p_c
4ppan_c	cmp_c
5aop_c	ppbng_c
mql8_c	h2o_c
sl2a6o_c	akg_c
gly_c	gly_e
cgly_e	cgly_c
MGlcn63_rl_e	fuc_L_e
udcpdp_c	pi_c
h_c	4mop_c
o2_c	2mb2coa_c
MGlcn139_rl_e	gal_e
metala_e	metala_c
met_D_e	adp_c
nadp_c	ru5p_D_c
h2o_c	r5p_c
MGlcn157_e	fuc_L_e
glyc_c	adp_c
r5p_c	psd5p_c
for_c	h_c
10fthf_c	adp_c
h_c	glyc_c
proteinsynth_c	pi_c
udp_c	palmtca1_c
MGlcn104_rl_e	gal_e
glu_L_c	dhf_c
h2o_e	MGlcn165_e
thr_L_c	pi_c
mbdg_c	meoh_c
udpg_c	g1p_c
atp_c	uaaGgtla_c
h_c	ppi_c
prpp_c	atp_c
prpp_c	pran_c
pro_L_c	PGPm1_c
1ddecg3p_c	pa120_c
cys_L_c	PGPm1_c
h2o_c	acgam_c
2agpe161_c	hdcea_c
MGlcn140_rl_e	MGlcn159_rl_e
MGlcn192_e	acnam_e
udpgal_c	utp_c
2ahhmd_c	ppi_c
4c2me_c	h_c
MGlcn117_e	acnam_e
MGlcn106_rl_e	MGlcn99_rl_e
glyc3p_c	nadph_c
ala_L_c	apoACP_c
h_c	skm_c
MGlcn172_e	MGlcn161_e
fdxrd_c	nadph_c
2dr5p_c	g3p_c
i17tcaacgam_c	uacgam_c
malthp_c	glc_D_c
adp_c	dudp_c
1agpe180_c	ocdca_c
trp_L_c	PGPm1_c
ipdp_c	udcpdp_c
acgam6p_c	gam6p_c
MGlcn35_e	MGlcn31_e
2cpr5p_c	co2_c
i15tca1_c	i15tcaacgam_c
l2a6o_c	thdp_c
MGlcn80_rl_e	fuc_L_e
ctp_c	cdpdhdec9eg_c
gly_c	glygln_c
gdp_c	dgdp_c
pep_c	pyr_c
MGlcn108_e	fuc_L_e
nad_c	nadp_c
ppi_c	ppi_e
6pgl_c	g6p_B_c
ribflv_c	pi_c
ihdcoa_c	coa_c
ru5p_D_c	pi_c
cdpdihdecg_c	h_c
succoa_c	HC00695_c
2agpe120_c	g3pe_c
h2o_e	MGlcn127_e
ala_D_e	ala_D_c
aipdcoa_c	paai15_c
5aizc_c	25aics_c
3c2hmp_c	h_c
dudp_c	dump_c
uaagmda_c	h_c
h_c	dutp_c
nadh_c	actn_R_c
MGlcn74_e	MGlcn79_e
amet_c	phyQ_c
MGlcn169_e	acnam_e
alaasp_e	pi_c
h_c	co2_c
glyc_R_c	3pg_c
pyr_c	adhlam_c
4hpro_LT_c	h_c
udpglcur_c	nad_c
h2o_c	gal_c
prpp_c	amp_c
adp_c	pyr_c
