,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
11,na1[c],pram[c],ump[c],3c3hmp[c],ump[c],gagicolipa[c],dmphqno[c],3c3hmp[c],mlthf[c],dtdprmn[c]
12,i16tca1[c],alpro[c],fdp[c],pram[c],mlthf[c],3c4mop[c],dtdprmn[c],acgalidour2s[e],g1p[c],dudp[c]
13,glyphe[e],forglu[c],xu5p_D[c],adhlam[c],g1p[c],dtdprmn[c],cspg_c_degr[e],3c4mop[c],uri[c],duri[c]
14,ac[c],mqn7[e],uri[c],dmphqno[c],fdp[c],ump[c],mlthf[c],dtdprmn[c],pydx[e],uri[c]
15,3c3hmp[c],sql[c],h2mb4p[c],mqn7[e],xu5p_D[c],etoh[c],uri[c],cspg_c_degr[e],h2mb4p[c],pydx[e]
16,3c4mop[c],dtdprmn[c],thglu[c],sql[c],uri[c],g1p[c],pydx[e],h2o2[c],adocbi[c],h2mb4p[c]
17,dmphqno[c],ump[c],alahis[e],udcpp[c],pydx[e],uri[c],pppg9[c],mlthf[c],mql8[c],adocbi[c]
18,i14tca1[c],h2o2[c],uacgam[c],ump[c],h2mb4p[c],pydx[e],h2mb4p[c],hspg_degr_9[e],accoa[c],hisp[c]
19,ai17tca1[c],5fthf[c],uaGgla[c],acgam1p[c],tagdp_D[c],h2mb4p[c],mql8[c],g1p[c],hisp[c],ggagicolipa[c]
20,6pgc[c],pppi[c],achms[c],5fthf[c],adocbi[c],icolipa[c],hisp[c],uri[c],ggagicolipa[c],achms[c]
21,ump[c],g1p[c],orn[e],5forthf[c],alahis[e],adocbi[c],uacgam[c],pydx[e],h2s[e],adphep_DD[c]
22,g1p[c],fdp[c],2dr5p[c],g1p[c],hisp[c],copre5[c],ggagicolipa[c],h2mb4p[c],achms[c],3a2opp[c]
23,fdp[c],pep[c],13dpg[c],nh4[e],2ddg6p[c],alahis[e],achms[c],adocbi[c],adphep_DD[c],pydam[c]
24,xu5p_D[c],udpgal[c],stcoa[c],udpgal[c],uacgam[c],hisp[c],h2s[e],hspg_degr_5[e],udpglcur[c],suchms[c]
