,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
111,ru5p_L[c],14m3hpentdecACP[c],4m3hhexACP[c],but[e],bhb[e],spmd[c],2mpropACP[c],pa181[c],ps140[c],sttca1[c]
112,xu1p_L[c],ps120[c],8m3hdcaACP[c],but[c],uaagtmda[c],agm[c],dha[c],ocdcea[c],isoval[c],sttcaacgam[c]
113,unaga[c],hg2[c],4ppcys[c],3ohexACP[c],hg2[c],6m3hheptACP[c],pg140[c],hgbyr[c],alaglu[c],ai15tcaacgam[c]
114,rml1p[c],hg2[e],pb[c],dad_5[c],hg2[e],7m3hocACP[c],clpn140[c],dad_5[c],fmnh2[c],3dhcdchol[e]
115,glyglu[c],1aipdecg3p[c],pb[e],pg141[c],3odecACP[c],7m3oocACP[c],2mbutACP[c],pg141[c],1pipdn2c[c],co2[e]
116,metsox_R_L[e],pa160[c],arab_L[c],3dhcdchol[e],glyglu[e],alltn_R[c],2mbcoa[c],uaaGgtla[c],hdcoa[c],paai15[c]
117,4mpetz[c],dpcoa[c],alltn[c],C02528[e],glygln[c],8m3hdcaACP[c],pgi16[c],1ddecg3p[c],pei14[c],aihpdcoa[c]
118,dtdprmn[c],10mundecACP[c],phthr[c],dcaACP[c],ibcoa[c],4ppcys[c],ppcoa[c],i17tcaacgam[c],pe161[c],fa12[c]
119,2mop[c],2mpropACP[c],amopbut_L[c],dhf[c],2mpropACP[c],pb[c],cdpdodec11eg[c],gthrd[c],ser_L[e],alagly[c]
120,cit[c],dha[c],4m3hpentACP[c],uaaGgtla[c],2mbutACP[c],pb[e],co2[e],lgt_S[c],ala_L[e],10mundecACP[c]
121,imacp[c],pei14[c],hxcoa[c],2agpe161[c],2mbcoa[c],arab_L[c],paai15[c],ptrc[e],alltn[c],1ipdecg3p[c]
122,hisp[c],peai15[c],e4hglu[c],3ooctdACP[c],octeACP[c],Naccitr_L[c],aihpdcoa[c],ppi[e],core5[e],4abut[e]
123,thm[e],octeACP[c],4h2oglt[c],ocACP[c],1odec11eg3p[c],ser_D[c],fa12[c],hgbam[c],acgal[e],uacmam[c]
124,2aobut[c],hdeACP[c],hkmpp[c],tddec2eACP[c],ppcoa[c],4m3hpentACP[c],alagly[c],5hxudidzcba[c],L2aadp6sa[c],ficytC[c]
125,pgp180[c],pai15[c],dkmpp[c],actACP[c],cdpdodec11eg[c],hethmpp[c],10mundecACP[c],alltn_R[c],thp2c[c],12dgr140[c]
126,Tn_antigen[e],dgchol[e],fdxrd[c],3haACP[c],cpppg3[c],hxcoa[c],1ipdecg3p[c],sT_antigen[e],btn[e],pre5[c]
127,2ommb[c],co2[e],3hdcoa[c],2maacoa[c],co2[e],e4hglu[c],4abut[e],acnam[c],btal[c],8m3hdcaACP[c]
128,lac_D[e],dcyt[e],5prdmbz[c],gcald[c],paai15[c],hdcoa[c],ficytC[c],ps140[c],ppa[e],8mtdec2eACP[c]
129,apoC_Lys_btn[c],paai15[c],3ooctACP[c],4m3opentACP[c],aihpdcoa[c],btn_co2[c],cspg_c_rest[e],isoval[c],ps120[c],14m3opentdecACP[c]
130,lpro[c],alagly[c],butso3[e],ps140[c],fa12[c],9mdcaACP[c],8m3hdcaACP[c],alaglu[c],HC01104[c],arsenb[e]
131,uri[c],uaaGgla[c],1agpe141[c],metsox_R_L[c],alagly[c],3hdcoa[c],8mtdec2eACP[c],1pipdn2c[c],pnp[c],lipoate[c]
132,d5kgp[c],cd2[c],glyasp[c],hexACP[c],1ipdecg3p[c],3ooctACP[c],14m3opentdecACP[c],pnto_R[c],acmama[c],pheme[c]
133,4hbz[e],cdpdaipdecg[c],mops[e],3hocoa[c],amopbut_L[c],7mtoct2eACP[c],arsenb[e],hdcoa[c],acmam[c],palmtca1[c]
134,CE5656[c],ps181[c],3oddecACP[c],arbt[e],3a2opp[c],toct2eACP[c],lipoate[c],pei14[c],ps161[c],alagln[c]
135,pgp141[c],6mheptACP[c],skm[c],butACP[c],3hddcoa[c],rml[c],pheme[c],pe161[c],glyglu[c],i15tcaacgam[c]
136,2hdec9eg3p[c],cdpdtdecg[c],hdcea[c],tre[e],ficytC[c],rmn[c],pgai17[c],ser_L[e],pheme[c],pai14[c]
137,pgpai15[c],8mtnon2eACP[c],10m3oundecACP[c],h2o[e],pre5[c],1agpe141[c],clpnai17[c],1tdec7eg3p[c],Tn_antigen[e],2mmal[c]
138,2agpe181[c],pa140[c],4mhetz[c],3hdecACP[c],8m3hdcaACP[c],glyasp[c],cdpdaipdecg[c],ala_L[e],2ommb[c],myrstcaacgam[c]
139,btcoa[c],ala_L[e],3htdcoa[c],btn[e],8mtdec2eACP[c],8mdcaACP[c],glyc[c],alltn[c],i17tca1[c],cbmt[c]
140,HC01652[c],pei16[c],glyglu[c],btal[c],14m3opentdecACP[c],1odec11eg3p[c],pgp141[c],L2aadp6sa[c],isobut[e],23ccmp[c]
